signal_id,ehtimollik
SG_001563,0.66455591
SG_001567,0.24679220
SG_001568,0.22629562
SG_001569,0.33727712
SG_001570,0.65455757
SG_001571,0.66188969
SG_001572,0.72354608
SG_001573,0.07915347
SG_001576,0.59756707
SG_001584,0.05449092
SG_001590,0.88901850
SG_001591,0.33311115
SG_001592,0.12847859
SG_001595,0.12947842
SG_001601,0.97250458
SG_001604,0.70238294
SG_001609,0.75304116
SG_001610,0.76237294
SG_001612,0.15564073
SG_001613,0.76303949
SG_001615,0.06315614
SG_001623,0.55824029
SG_001624,0.18013664
SG_001631,0.27645392
SG_001634,0.73837694
SG_001636,0.96817197
SG_001638,0.85285786
SG_001647,0.54690885
SG_001650,0.81686386
SG_001653,0.79603399
SG_001654,0.84435927
SG_001658,0.72754541
SG_001663,0.78636894
SG_001667,0.10281620
SG_001668,0.44309282
SG_001670,0.00199967
SG_001683,0.17780370
SG_001686,0.64789202
SG_001688,0.80619897
SG_001689,0.10448259
SG_001698,0.96867189
SG_001704,0.75904016
SG_001711,0.67572071
SG_001719,0.06115647
SG_001720,0.02416264
SG_001723,0.58456924
SG_001726,0.82069655
SG_001728,0.08231961
SG_001731,0.12131311
SG_001733,0.87068822
SG_001734,0.10398267
SG_001735,0.78720213
SG_001737,0.97050492
SG_001738,0.71421430
SG_001739,0.52774538
SG_001740,0.35560740
SG_001744,0.45675721
SG_001745,0.57057157
SG_001750,0.55140810
SG_001751,0.31928012
SG_001761,0.89668389
SG_001767,0.19846692
SG_001768,0.93751041
SG_001769,0.22996167
SG_001776,0.75970672
SG_001786,0.55857357
SG_001788,0.20896517
SG_001789,0.65639060
SG_001790,0.07998667
SG_001791,0.45792368
SG_001792,0.65305782
SG_001793,0.49575071
SG_001796,0.43292785
SG_001797,0.16713881
SG_001803,0.70921513
SG_001804,0.28211965
SG_001806,0.24395934
SG_001811,0.26445592
SG_001815,0.90534911
SG_001819,0.60456591
SG_001824,0.52757874
SG_001825,0.72821196
SG_001827,0.28028662
SG_001830,0.79870022
SG_001831,0.02266289
SG_001833,0.86385602
SG_001836,0.33061156
SG_001844,0.73804366
SG_001846,0.05615731
SG_001847,0.88368605
SG_001848,0.76553908
SG_001849,0.67072155
SG_001851,0.14797534
SG_001858,0.39243459
SG_001860,0.16513914
SG_001862,0.78853524
SG_001864,0.43109482
SG_001865,0.92084653
SG_001867,0.64355941
SG_001872,0.12731211
SG_001876,0.32611231
SG_001877,0.77920347
SG_001883,0.29961673
SG_001884,0.35527412
SG_001885,0.18963506
SG_001886,0.89918347
SG_001888,0.15030828
SG_001890,0.25545742
SG_001892,0.53257790
SG_001893,0.91501416
SG_001894,0.56123979
SG_001895,0.96600567
SG_001897,0.65789035
SG_001901,0.24979170
SG_001903,0.46425596
SG_001904,0.05165806
SG_001906,0.38343609
SG_001909,0.44809198
SG_001912,0.55207465
SG_001914,0.04665889
SG_001915,0.24229295
SG_001919,0.74120980
SG_001924,0.44642560
SG_001925,0.06998834
SG_001928,0.74370938
SG_001930,0.14497584
SG_001932,0.64889185
SG_001933,0.27662056
SG_001934,0.01816364
SG_001936,0.07115481
SG_001947,0.14930845
SG_001953,0.87935344
SG_001954,0.11931345
SG_001955,0.87952008
SG_001963,0.43692718
SG_001971,0.97167139
SG_001975,0.38543576
SG_001976,0.41343109
SG_001977,0.78886852
SG_001980,0.08148642
SG_001981,0.02799533
SG_001982,0.95684053
SG_001990,0.53441093
SG_001999,0.35544076
SG_002000,0.71304783
SG_002002,0.96683886
SG_002004,0.54357607
SG_002008,0.89968339
SG_002009,0.49858357
SG_002016,0.86468922
SG_002021,0.61456424
SG_002024,0.62856191
SG_002027,0.96117314
SG_002037,0.76853858
SG_002038,0.51674721
SG_002039,0.66905516
SG_002044,0.82219630
SG_002045,0.21179803
SG_002048,0.11381436
SG_002050,0.66655557
SG_002052,0.56790535
SG_002063,0.68621896
SG_002067,0.74704216
SG_002068,0.49908349
SG_002069,0.31244793
SG_002074,0.05682386
SG_002075,0.30728212
SG_002078,0.26595567
SG_002081,0.30228295
SG_002090,0.56840527
SG_002097,0.87335444
SG_002103,0.21579737
SG_002105,0.78070322
SG_002110,0.38876854
SG_002122,0.38960173
SG_002123,0.62656224
SG_002125,0.98650225
SG_002129,0.99466756
SG_002131,0.91784703
SG_002137,0.70221630
SG_002142,0.84285952
SG_002150,0.59990002
SG_002151,0.69838360
SG_002152,0.49675054
SG_002166,0.14614231
SG_002171,0.80219963
SG_002172,0.70538244
SG_002176,0.24362606
SG_002177,0.77220463
SG_002181,0.93467755
SG_002184,0.37160473
SG_002185,0.96367272
SG_002186,0.06782203
SG_002191,0.12014664
SG_002192,0.85769038
SG_002194,0.79020163
SG_002200,0.18230295
SG_002209,0.87735377
SG_002213,0.06665556
SG_002220,0.40709882
SG_002223,0.22979503
SG_002227,0.43926012
SG_002228,0.14847525
SG_002233,0.71904683
SG_002241,0.76503916
SG_002248,0.72571238
SG_002251,0.68138644
SG_002252,0.37410432
SG_002254,0.86818864
SG_002255,0.79336777
SG_002260,0.91018164
SG_002262,0.19446759
SG_002263,0.28328612
SG_002266,0.18946842
SG_002270,0.57607065
SG_002277,0.17797034
SG_002278,0.16197300
SG_002280,0.20929845
SG_002281,0.94467589
SG_002283,0.38393601
SG_002284,0.88002000
SG_002286,0.46375604
SG_002288,0.44859190
SG_002291,0.66055657
SG_002292,0.08298617
SG_002294,0.46525579
SG_002296,0.82852858
SG_002298,0.26995501
SG_002301,0.55157474
SG_002304,0.94484253
SG_002311,0.43742710
SG_002319,0.87552075
SG_002320,0.22679553
SG_002322,0.30194968
SG_002324,0.41826362
SG_002328,0.70388269
SG_002332,0.26345609
SG_002341,0.90101650
SG_002346,0.31211465
SG_002347,0.91001500
SG_002352,0.06648892
SG_002357,0.61189802
SG_002361,0.26095651
SG_002370,0.04499250
SG_002371,0.88618564
SG_002372,0.03499417
SG_002373,0.56640560
SG_002374,0.37360440
SG_002375,0.52857857
SG_002381,0.23612731
SG_002385,0.39493418
SG_002387,0.40176637
SG_002390,0.98316947
SG_002391,0.03316114
SG_002392,0.05015831
SG_002394,0.67738710
SG_002396,0.32644559
SG_002401,0.49741710
SG_002402,0.43092818
SG_002404,0.74837527
SG_002407,0.26712215
SG_002410,0.43276121
SG_002419,0.96033994
SG_002421,0.61589735
SG_002422,0.19813364
SG_002423,0.95534078
SG_002429,0.46492251
SG_002430,0.54407599
SG_002434,0.69071821
SG_002437,0.21913014
SG_002442,0.52357940
SG_002444,0.39010165
SG_002447,0.23596067
SG_002448,0.06432261
SG_002450,0.95717380
SG_002453,0.15414098
SG_002454,0.68521913
SG_002455,0.60139977
SG_002456,0.94734211
SG_002458,0.47125479
SG_002459,0.49458424
SG_002460,0.76920513
SG_002462,0.25845692
SG_002464,0.34277620
SG_002466,0.72087985
SG_002475,0.60723213
SG_002477,0.54824196
SG_002479,0.68455257
SG_002482,0.38760207
SG_002483,0.83102816
SG_002486,0.58023663
SG_002490,0.84652558
SG_002493,0.11264789
SG_002495,0.75187469
SG_002498,0.16913848
SG_002500,0.97017164
SG_002502,0.49491751
SG_002507,0.83269455
SG_002509,0.26395601
SG_002517,0.81019830
SG_002520,0.34977504
SG_002522,0.26745542
SG_002526,0.35177470
SG_002529,0.09631728
SG_002532,0.11531411
SG_002539,0.17030495
SG_002541,0.01349775
SG_002544,0.12247959
SG_002545,0.32444593
SG_002546,0.71238127
SG_002548,0.76037327
SG_002555,0.68355274
SG_002559,0.31178137
SG_002568,0.02016331
SG_002572,0.98333611
SG_002573,0.37293784
SG_002577,0.10264956
SG_002580,0.65105816
SG_002583,0.71104816
SG_002586,0.40826529
SG_002587,0.54890852
SG_002588,0.06332278
SG_002594,0.43009498
SG_002596,0.04232628
SG_002597,0.05215797
SG_002599,0.47425429
SG_002600,0.85852358
SG_002601,0.02949508
SG_002605,0.64472588
SG_002613,0.52141310
SG_002615,0.89051825
SG_002618,0.25212465
SG_002622,0.53991001
SG_002627,0.72071321
SG_002628,0.15330778
SG_002630,0.03016164
SG_002633,0.93217797
SG_002638,0.11798034
SG_002649,0.71054824
SG_002650,0.46308949
SG_002652,0.21279787
SG_002653,0.13064489
SG_002654,0.14314281
SG_002657,0.23979337
SG_002664,0.91051491
SG_002665,0.01266456
SG_002666,0.61656391
SG_002667,0.64005999
SG_002672,0.71988002
SG_002673,0.65039160
SG_002674,0.35310782
SG_002675,0.35844026
SG_002680,0.87035494
SG_002684,0.95150808
SG_002688,0.85885686
SG_002689,0.18696884
SG_002691,0.19346776
SG_002693,0.94100983
SG_002699,0.34744209
SG_002701,0.72554574
SG_002705,0.81769705
SG_002720,0.07882020
SG_002731,0.56623896
SG_002733,0.33027829
SG_002735,0.67288785
SG_002736,0.81869688
SG_002738,0.04099317
SG_002742,0.59406766
SG_002746,0.18196967
SG_002748,0.02632895
SG_002752,0.22862856
SG_002755,0.29495084
SG_002757,0.20746542
SG_002759,0.48191968
SG_002767,0.35960673
SG_002770,0.86535577
SG_002773,0.94984169
SG_002777,0.84419263
SG_002782,0.06398934
SG_002783,0.04965839
SG_002785,0.25179137
SG_002788,0.66838860
SG_002789,0.50324946
SG_002793,0.54507582
SG_002796,0.09215131
SG_002798,0.62956174
SG_002809,0.77720380
SG_002814,0.76970505
SG_002820,0.12914514
SG_002825,0.83002833
SG_002827,0.58440260
SG_002829,0.32394601
SG_002832,0.99333444
SG_002834,0.07165472
SG_002840,0.89518414
SG_002842,0.27778704
SG_002843,0.26178970
SG_002849,0.96733878
SG_002850,0.38576904
SG_002853,0.61523079
SG_002875,0.90351608
SG_002882,0.70871521
SG_002887,0.93901016
SG_002891,0.54907515
SG_002896,0.37727045
SG_002904,0.53807699
SG_002906,0.93884353
SG_002907,0.53757707
SG_002910,0.94150975
SG_002918,0.38976837
SG_002926,0.10748209
SG_002930,0.30444926
SG_002932,0.09398434
SG_002937,0.71971338
SG_002939,0.32727879
SG_002943,0.14214298
SG_002944,0.27162140
SG_002947,0.02899517
SG_002949,0.31961340
SG_002950,0.03716047
SG_002952,0.16980503
SG_002954,0.54657557
SG_002955,0.85369105
SG_002958,0.81586402
SG_002960,0.67705382
SG_002964,0.90318280
SG_002967,0.29895017
SG_002972,0.90484919
SG_002982,0.90751541
SG_002985,0.73637727
SG_002989,0.85619063
SG_002999,0.19080153
SG_003002,0.46258957
SG_003008,0.49058490
SG_003023,0.14647559
SG_003024,0.08048659
SG_003026,0.81319780
SG_003028,0.82669555
SG_003030,0.68121980
SG_003031,0.41993001
SG_003037,0.11514748
SG_003042,0.54857524
SG_003043,0.15047492
SG_003044,0.96167305
SG_003045,0.28095317
SG_003048,0.41259790
SG_003049,0.15314114
SG_003051,0.03699383
SG_003052,0.33327779
SG_003059,0.93134478
SG_003062,0.20846526
SG_003065,0.11081486
SG_003067,0.03182803
SG_003071,0.35110815
SG_003072,0.87885352
SG_003073,0.40926512
SG_003075,0.73621063
SG_003080,0.31644726
SG_003082,0.56923846
SG_003084,0.89485086
SG_003085,0.22662890
SG_003088,0.34577570
SG_003089,0.63622730
SG_003096,0.32311281
SG_003097,0.91268122
SG_003102,0.33427762
SG_003105,0.65989002
SG_003107,0.03766039
SG_003111,0.46958840
SG_003116,0.63606066
SG_003118,0.17630395
SG_003125,0.00166639
SG_003127,0.35860690
SG_003133,0.82486252
SG_003135,0.61889685
SG_003137,0.73754374
SG_003138,0.26962173
SG_003139,0.98100317
SG_003141,0.78470255
SG_003144,0.81486419
SG_003151,0.71271455
SG_003154,0.68038660
SG_003158,0.97267122
SG_003160,0.13464423
SG_003164,0.78003666
SG_003168,0.12397934
SG_003169,0.04149308
SG_003174,0.22296284
SG_003179,0.87268789
SG_003184,0.52891185
SG_003186,0.00866522
SG_003193,0.76670555
SG_003196,0.13147809
SG_003198,0.83552741
SG_003201,0.72604566
SG_003204,0.88435261
SG_003205,0.69271788
SG_003206,0.16097317
SG_003211,0.82586236
SG_003214,0.74737544
SG_003215,0.06282286
SG_003216,0.59290118
SG_003217,0.67055491
SG_003219,0.74787535
SG_003226,0.50241626
SG_003227,0.95750708
SG_003230,0.70404933
SG_003231,0.62556241
SG_003232,0.04899183
SG_003234,0.06365606
SG_003239,0.29461756
SG_003241,0.28895184
SG_003243,0.15130812
SG_003250,0.17647059
SG_003253,0.84369272
SG_003256,0.77187135
SG_003259,0.07965339
SG_003266,0.95467422
SG_003272,0.89535077
SG_003273,0.36293951
SG_003281,0.17597067
SG_003284,0.59023496
SG_003288,0.00299950
SG_003293,0.10931511
SG_003294,0.52974504
SG_003295,0.72687885
SG_003296,0.02849525
SG_003301,0.54557574
SG_003304,0.31944676
SG_003305,0.60389935
SG_003307,0.49408432
SG_003310,0.57173804
SG_003314,0.55707382
SG_003321,0.30278287
SG_003325,0.25645726
SG_003328,0.77603733
SG_003331,0.65405766
SG_003332,0.89901683
SG_003333,0.51541410
SG_003340,0.68388602
SG_003341,0.77837027
SG_003342,0.66038994
SG_003349,0.57790368
SG_003355,0.27428762
SG_003357,0.91934678
SG_003361,0.01849692
SG_003370,0.91551408
SG_003371,0.78736877
SG_003373,0.83419430
SG_003374,0.88751875
SG_003379,0.30744876
SG_003388,0.11031495
SG_003389,0.71388102
SG_003390,0.03432761
SG_003391,0.79920013
SG_003392,0.18813531
SG_003393,0.98083653
SG_003397,0.00849858
SG_003398,0.21596401
SG_003399,0.78803533
SG_003402,0.42759540
SG_003404,0.25362440
SG_003407,0.17013831
SG_003408,0.63639393
SG_003422,0.05149142
SG_003426,0.20496584
SG_003430,0.20363273
SG_003434,0.49975004
SG_003437,0.43259457
SG_003439,0.11914681
SG_003440,0.41776371
SG_003441,0.13097817
SG_003444,0.47225462
SG_003447,0.79370105
SG_003452,0.34160973
SG_003453,0.97767039
SG_003464,0.51624729
SG_003469,0.19396767
SG_003475,0.86852191
SG_003477,0.99416764
SG_003479,0.28811865
SG_003480,0.71671388
SG_003482,0.55324113
SG_003483,0.79220130
SG_003485,0.10798200
SG_003486,0.88418597
SG_003489,0.04115981
SG_003491,0.02382936
SG_003492,0.46042326
SG_003493,0.44009332
SG_003501,0.67205466
SG_003505,0.96750542
SG_003509,0.09781703
SG_003517,0.82652891
SG_003521,0.59873354
SG_003526,0.01999667
SG_003528,0.18080320
SG_003532,0.57657057
SG_003535,0.17763706
SG_003538,0.84669222
SG_003541,0.18163639
SG_003545,0.42776204
SG_003548,0.21613064
SG_003549,0.40859857
SG_003554,0.02216297
SG_003557,0.68821863
SG_003566,0.24595901
SG_003568,0.09615064
SG_003572,0.83436094
SG_003575,0.47508749
SG_003578,0.25112481
SG_003584,0.34527579
SG_003585,0.31878020
SG_003588,0.62622896
SG_003589,0.57723713
SG_003594,0.71571405
SG_003597,0.91218130
SG_003598,0.33927679
SG_003601,0.73437760
SG_003603,0.70788202
SG_003610,0.09448425
SG_003611,0.02616231
SG_003613,0.30144976
SG_003618,0.02316281
SG_003619,0.24829195
SG_003620,0.89551741
SG_003625,0.84819197
SG_003627,0.17113814
SG_003628,0.70971505
SG_003629,0.17730378
SG_003637,0.76353941
SG_003648,0.01383103
SG_003650,0.50374938
SG_003666,0.24045992
SG_003668,0.67922013
SG_003670,0.71438094
SG_003671,0.01733044
SG_003689,0.42992835
SG_003691,0.08681886
SG_003699,0.87652058
SG_003702,0.37877020
SG_003704,0.28478587
SG_003705,0.51791368
SG_003706,0.35427429
SG_003708,0.01133144
SG_003710,0.09481753
SG_003711,0.08981836
SG_003714,0.29245126
SG_003715,0.66222296
SG_003722,0.94500917
SG_003745,0.38176971
SG_003746,0.65922346
SG_003751,0.44825862
SG_003754,0.74020997
SG_003757,0.72854524
SG_003758,0.86102316
SG_003765,0.18513581
SG_003767,0.07182136
SG_003768,0.44559240
SG_003769,0.50524913
SG_003777,0.47242126
SG_003783,0.15630728
SG_003786,0.12181303
SG_003787,0.06098984
SG_003788,0.14697550
SG_003792,0.20179970
SG_003795,0.25245792
SG_003806,0.70454924
SG_003807,0.64755874
SG_003809,0.86635561
SG_003810,0.03949342
SG_003812,0.85052491
SG_003820,0.81786369
SG_003822,0.57390435
SG_003829,0.76937177
SG_003835,0.11248125
SG_003843,0.90184969
SG_003844,0.66572238
SG_003851,0.36627229
SG_003852,0.64339277
SG_003856,0.39693384
SG_003860,0.93851025
SG_003863,0.04765872
SG_003865,0.42242960
SG_003868,0.69055157
SG_003869,0.05882353
SG_003874,0.53374438
SG_003878,0.83519413
SG_003880,0.80669888
SG_003881,0.44159307
SG_003886,0.39476754
SG_003896,0.70721546
SG_003904,0.73487752
SG_003905,0.67238794
SG_003906,0.19963339
SG_003907,0.14764206
SG_003908,0.34827529
SG_003910,0.98166972
SG_003917,0.39726712
SG_003919,0.83286119
SG_003920,0.66405599
SG_003921,0.06482253
SG_003922,0.75270788
SG_003925,0.01066489
SG_003926,0.16697217
SG_003935,0.20729878
SG_003937,0.63039493
SG_003940,0.75654058
SG_003941,0.47808699
SG_003945,0.94400933
SG_003951,0.91318114
SG_003958,0.05949008
