feature,gain
xalqaro_chiqim_bin7_n,0.0
last1_in,0.0
last2_in,0.0
xalqaro_chiqim_bin5_n,0.0
xalqaro_bin6_n,0.0
xalqaro_n,0.0
w90_xalqaro_n,0.0
w1_out_n,0.0
w1_out_amtx_sum,0.0
w1_karta_n,0.0
w1_active_days,0.0
w1_bank_otkazmasi_n,0.0
xalqaro_chiqim_n,0.0
w1_prev_n,0.0
w1_n,0.0
w60_out_n,0.0
w60_karta_n,0.0
w60_xalqaro_n,0.0
last2_age,0.0
last3_age,0.0
last11_age,0.0
w3_bank_otkazmasi_n,0.0
xalqaro_kirim_bin0_frac,0.0
naqd_bin2_frac,0.0
xalqaro_chiqim_bin0_frac,0.0
xalqaro_bin2_frac,0.0
xalqaro_bin1_frac,0.0
xalqaro_kirim_bin1_frac,0.0
xalqaro_chiqim_bin1_frac,0.0
xalqaro_bin3_frac,0.0
naqd_chiqim_bin3_frac,0.0
naqd_n,0.0
xalqaro_amtx_sum,0.0
last13_amt,0.0
xalqaro_kirim_n,0.0
xalqaro_days,0.0
w60_amt_mean,0.0
w90_prev_amtx_sum,0.0
w60_out_frac,0.0
xalqaro_chiqim_bin3_frac,0.0
w30_xalqaro_frac,0.0
xalqaro_kirim_bin3_frac,0.0
xalqaro_kirim_bin2_frac,0.0
xalqaro_chiqim_bin2_frac,0.0
w90_bank_otkazmasi_n,0.0
xalqaro_chiqim_bin6_frac,0.0
xalqaro_bin7_frac,0.0
xalqaro_kirim_bin7_frac,0.0
xalqaro_chiqim_bin7_frac,0.0
xalqaro_bin5_frac,0.0
xalqaro_chiqim_bin4_frac,0.0
xalqaro_kirim_bin5_frac,0.0
xalqaro_bin6_frac,0.0
b_naqd_kirim_n,0.0
b_naqd_n,0.0
b_bank_otkazmasi_chiqim_n,0.0
kirim_max,0.0
karta_kirim_n,0.0
karta_kirim_amtx_sum,0.0
b_xalqaro_n,0.0
b_naqd_chiqim_n,0.0
w14_xalqaro_frac,0.0
w14_out_frac,0.0
w1_naqd_frac,0.0
w1_out_frac,0.0
w1_xalqaro_frac,0.0
w3_naqd_frac,0.0
w3_xalqaro_frac,0.0
br_xalqaro_mean_diff,0.0
